name,symbol,price,change,volume,mkt_cap,PE_ratio
"Copart, Inc.",CPRT,44.45,-0.66,8.57M,43.016B,27.96
Rithm Capital Corp.,RITM,10.90,-0.25,7.205M,5.78B,8.38
"Avantor, Inc.",AVTR,14.09,-0.20,7.194M,9.606B,13.95
Newmont Corporation,NEM,88.51,+1.65,7.344M,97.224B,16.03
The Boeing Company,BA,219.73,+3.43,7.217M,166.151B,--
Petróleo Brasileiro S.A. - Petrobras,PBR-A,11.55,-0.06,7.167M,77.719B,5.40
Lloyds Banking Group plc,LYG,4.5800,-0.0100,7.219M,67.734B,13.09
Sibanye Stillwater Limited,SBSW,11.31,+0.14,7.14M,8.062B,--
Vertiv Holdings Co,VRT,162.80,+2.60,7.128M,62.168B,77.89
"The Interpublic Group of Companies, Inc.",IPG,26.80,+0.30,7.096M,9.816B,22.71
UnitedHealth Group Incorporated,UNH,358.77,-1.43,7.096M,324.929B,15.53
"Lucid Group, Inc.",LCID,24.02,-0.75,7.409M,7.381B,--
Philip Morris International Inc.,PM,153.54,+0.27,6.993M,238.999B,22.71
Algonquin Power & Utilities Corp.,AQN,5.79,+0.02,6.948M,4.447B,144.75
Smurfit Westrock Plc,SW,40.31,-1.67,6.927M,21.047B,155.04
Southwest Airlines Co.,LUV,32.58,+0.06,6.908M,17.111B,50.91
"Viking Therapeutics, Inc.",VKTX,32.28,+2.56,7.162M,3.63B,--
Companhia Siderúrgica Nacional,SID,1.6600,+0.0900,6.824M,2.26B,--
"Bath & Body Works, Inc.",BBWI,26.43,+0.55,6.759M,5.45B,7.91
Abbott Laboratories,ABT,133.74,-0.85,6.682M,232.769B,16.78
"Gilead Sciences, Inc.",GILD,113.58,+0.89,8.796M,140.931B,22.54
VICI Properties Inc.,VICI,32.24,-0.39,6.578M,34.38B,12.35
"Mondelez International, Inc.",MDLZ,61.78,-0.89,7.868M,79.94B,22.63
"Chewy, Inc.",CHWY,37.59,+0.06,6.566M,15.593B,104.42
"Macy's, Inc.",M,18.30,+0.09,8.301M,4.914B,10.40
Boston Scientific Corporation,BSX,96.70,-0.62,6.562M,143.285B,57.56
International Paper Company,IP,45.88,-1.29,6.526M,24.224B,--
"SentinelOne, Inc.",S,17.91,-0.04,6.589M,6.003B,--
"Asana, Inc.",ASAN,14.60,+0.95,6.472M,3.449B,--
GSK plc,GSK,43.45,+0.10,6.465M,89.552B,19.57
"Delta Air Lines, Inc.",DAL,58.26,+1.00,6.923M,38.041B,8.47
Microchip Technology Incorporated,MCHP,66.59,+0.05,6.409M,35.937B,--
"Host Hotels & Resorts, Inc.",HST,16.62,-0.29,7.42M,11.575B,17.68
Credo Technology Group Holding Ltd,CRDO,147.42,+3.55,6.38M,25.503B,204.75
Sony Group Corporation,SONY,30.10,+1.14,6.363M,179.91B,22.63
Baxter International Inc.,BAX,23.15,-0.71,6.327M,11.89B,--
AstraZeneca PLC,AZN,85.49,+0.18,6.319M,265.964B,32.26
Sunrun Inc.,RUN,19.25,+0.14,6.316M,4.442B,--
ADT Inc.,ADT,8.71,-0.09,6.293M,7.143B,12.27
Arista Networks Inc,ANET,149.50,+4.00,6.292M,187.901B,58.40
"Caesars Entertainment, Inc.",CZR,26.38,-0.89,6.263M,5.487B,--
"Columbia Banking System, Inc.",COLB,26.58,+0.17,6.976M,7.952B,10.55
"Under Armour, Inc.",UAA,5.0000,-0.0500,6.254M,2.11B,22.73
"The TJX Companies, Inc.",TJX,143.11,+1.78,6.161M,159.273B,32.60
James Hardie Industries plc,JHX,20.09,-0.32,6.159M,11.636B,26.09
APA Corporation,APA,25.12,+0.58,6.122M,8.988B,8.69
QUALCOMM Incorporated,QCOM,168.62,-0.56,7.626M,181.941B,16.29
Mobileye Global Inc.,MBLY,15.02,+0.35,6.553M,12.223B,--
Rumble Inc.,RUM,8.49,-0.07,6.38M,2.877B,--
eBay Inc.,EBAY,91.77,-0.40,6.075M,41.939B,20.39
Viatris Inc.,VTRS,10.13,-0.06,6.992M,11.81B,--
"Palo Alto Networks, Inc.",PANW,212.58,+5.39,6.467M,143.889B,133.70
Vistra Corp.,VST,200.41,-1.58,6.01M,67.903B,32.22
Hudbay Minerals Inc.,HBM,15.65,-0.09,5.994M,6.192B,21.44
"General Mills, Inc.",GIS,50.18,-0.18,5.987M,26.767B,9.49
